epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1714.15,1.16459,0.95459,1.28728,0.6917,0.64472,0.71611,0.45467,1.343,1.07882,1.39732,0.00121625,0.00121625,0.00121625
97,1732.01,1.15176,0.95699,1.27948,0.66019,0.65466,0.7169,0.46164,1.31247,1.0728,1.36933,0.001208,0.001208,0.001208
98,1749.8,1.13893,0.94009,1.27167,0.70228,0.62123,0.71646,0.45574,1.34174,1.08757,1.4027,0.00119975,0.00119975,0.00119975
99,1767.57,1.15783,0.94431,1.28235,0.72404,0.63727,0.72162,0.46193,1.31948,1.06044,1.36696,0.0011915,0.0011915,0.0011915
100,1785.45,1.14998,0.94077,1.27624,0.67581,0.64348,0.70885,0.45569,1.31868,1.08153,1.35282,0.00118325,0.00118325,0.00118325
101,1803.32,1.15826,0.94679,1.27999,0.66476,0.67578,0.70811,0.45387,1.33145,1.08206,1.3747,0.001175,0.001175,0.001175
102,1821.17,1.14497,0.93968,1.27298,0.68704,0.64905,0.71256,0.45808,1.33916,1.0816,1.39292,0.00116675,0.00116675,0.00116675
103,1838.9,1.15895,0.93922,1.28147,0.64164,0.68944,0.71315,0.45367,1.34731,1.06591,1.39057,0.0011585,0.0011585,0.0011585
104,1856.78,1.16376,0.93171,1.27634,0.69392,0.64493,0.71501,0.459,1.33723,1.04443,1.38649,0.00115025,0.00115025,0.00115025
105,1874.43,1.13591,0.91107,1.26005,0.65167,0.66335,0.70479,0.44717,1.35343,1.08612,1.38646,0.001142,0.001142,0.001142
106,1892.27,1.13516,0.9245,1.26491,0.71296,0.61366,0.69835,0.44702,1.34865,1.11884,1.37474,0.00113375,0.00113375,0.00113375
107,1910.14,1.13975,0.92638,1.27164,0.66701,0.66832,0.72811,0.46397,1.31391,1.03757,1.36043,0.0011255,0.0011255,0.0011255
108,1927.99,1.14936,0.92269,1.26785,0.67688,0.65342,0.72192,0.45849,1.32443,1.05409,1.3728,0.00111725,0.00111725,0.00111725
109,1945.93,1.1462,0.91855,1.2588,0.70955,0.6323,0.71782,0.45591,1.3268,1.05395,1.36471,0.001109,0.001109,0.001109
110,1964.02,1.1333,0.91206,1.26141,0.68271,0.66289,0.72009,0.45705,1.33215,1.06053,1.37171,0.00110075,0.00110075,0.00110075
111,1982.08,1.1294,0.91056,1.25542,0.70732,0.62443,0.72217,0.45834,1.33605,1.06014,1.3746,0.0010925,0.0010925,0.0010925
112,2000.08,1.14239,0.91356,1.25793,0.70304,0.64596,0.72001,0.46191,1.31753,1.06632,1.36698,0.00108425,0.00108425,0.00108425
113,2017.91,1.13785,0.91568,1.25913,0.69317,0.64348,0.72019,0.46328,1.31951,1.05235,1.37986,0.001076,0.001076,0.001076
