epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,5075.36,1.07016,0.8427,1.27186,0.6591,0.66335,0.70746,0.45613,1.33142,1.08495,1.48164,0.00113375,0.00113375,0.00113375
107,5123.05,1.07088,0.83526,1.27979,0.70498,0.62112,0.71474,0.46149,1.34341,1.06238,1.48533,0.0011255,0.0011255,0.0011255
108,5170.81,1.07568,0.83148,1.27818,0.70095,0.63354,0.72448,0.46957,1.31608,1.0434,1.46216,0.00111725,0.00111725,0.00111725
109,5218.59,1.07016,0.82373,1.26649,0.68866,0.64472,0.71317,0.45949,1.34432,1.06898,1.48632,0.001109,0.001109,0.001109
110,5266.34,1.05719,0.80993,1.26425,0.68054,0.6559,0.72585,0.47275,1.32252,1.05978,1.46443,0.00110075,0.00110075,0.00110075
111,5314.1,1.0563,0.82502,1.26286,0.676,0.67205,0.72517,0.46902,1.31255,1.05982,1.45108,0.0010925,0.0010925,0.0010925
112,5362.94,1.0593,0.82313,1.25922,0.66985,0.67453,0.73259,0.47448,1.30967,1.03385,1.45293,0.00108425,0.00108425,0.00108425
113,5410.71,1.05812,0.82139,1.26104,0.68083,0.65452,0.71849,0.46541,1.30654,1.07563,1.43598,0.001076,0.001076,0.001076
114,5458.45,1.0672,0.82964,1.27548,0.67165,0.67083,0.72308,0.46514,1.3405,1.0301,1.47892,0.00106775,0.00106775,0.00106775
115,5506.19,1.059,0.80931,1.26252,0.7036,0.63695,0.7229,0.4718,1.31325,1.06811,1.45652,0.0010595,0.0010595,0.0010595
116,5553.88,1.05173,0.80469,1.25998,0.69036,0.64845,0.72009,0.47096,1.31158,1.07524,1.45144,0.00105125,0.00105125,0.00105125
117,5601.54,1.05182,0.81045,1.25999,0.68493,0.64845,0.72291,0.47179,1.30977,1.04957,1.45978,0.001043,0.001043,0.001043
118,5649.25,1.04994,0.80369,1.25792,0.72051,0.6472,0.73468,0.47551,1.30761,1.02091,1.44871,0.00103475,0.00103475,0.00103475
119,5697.04,1.04534,0.7982,1.24886,0.67834,0.67205,0.73003,0.47177,1.30165,1.03581,1.4708,0.0010265,0.0010265,0.0010265
120,5744.81,1.03395,0.80309,1.25587,0.6624,0.69953,0.73196,0.4776,1.31471,1.02415,1.46188,0.00101825,0.00101825,0.00101825
121,5792.49,1.03803,0.79603,1.2514,0.6504,0.65963,0.71959,0.47138,1.29924,1.03541,1.44634,0.00101,0.00101,0.00101
122,5840.28,1.03113,0.79377,1.24425,0.61519,0.71429,0.71692,0.4643,1.3081,1.07901,1.46128,0.00100175,0.00100175,0.00100175
123,5888.02,1.03156,0.78442,1.24878,0.65632,0.67826,0.71878,0.46218,1.32897,1.03749,1.47885,0.0009935,0.0009935,0.0009935
124,5935.77,1.02847,0.77799,1.24663,0.64442,0.71592,0.7301,0.47518,1.32191,1.0529,1.46424,0.00098525,0.00098525,0.00098525
